Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uF,
C2,CP_Elec_5x4.5,1,10uF,
"D1, D2",D_A-405_P10.16mm_Horizontal,2,1N4148,
D3,0805,1,LED,
J1,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DE9_Plug,
J2,TE_5749180-1,1,Mini-DIN-6,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Prog/Work,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Resolution,
R1,0805,1,10K,
"R2, R3, R4, R6",0805,4,220,
R5,0805,1,2K,
"R7, R8",0805,2,4.7K,
U1,SOIC-20W_7.5x12.8mm_P1.27mm,1,ATtiny2313-20S,
